header,intent,perform,bot,total
0.11,0.4,1.27,1.45,1.47
0.15,0.49,1.46,1.72,1.76
0.15,0.51,1.34,1.52,1.55
0.17,0.66,1.53,1.77,1.79
0.16,0.49,1.46,1.75,1.77
0.21,0.53,1.41,1.64,1.68
