header,intent,perform,bot,total
0.21,0.71,2.49,2.91,2.96
0.17,0.56,1.54,1.81,1.85
0.1,0.36,1.27,1.48,1.51
0.18,0.59,1.57,1.76,1.8
0.1,0.47,1.53,1.73,1.75
0.23,0.54,1.63,1.9,1.92
