header,intent,perform,bot,total
0.12,0.46,1.44,1.68,1.71
0.14,0.43,1.27,1.47,1.5
0.17,0.65,1.44,1.73,1.76
0.14,0.45,1.24,1.52,1.56
0.18,0.65,1.54,1.82,1.85
0.16,0.46,1.22,1.47,1.5
