header,intent,perform,bot,total
0.12,0.46,1.4,1.62,1.65
0.19,0.55,1.47,1.73,1.76
0.18,0.6,1.81,2.19,2.23
0.16,0.59,1.68,1.99,2.02
0.11,0.43,1.25,1.46,1.48
0.12,0.42,1.17,1.41,1.43
