header,intent,perform,bot,total
0.16,0.42,1.43,1.63,1.65
0.17,0.57,1.79,2.06,2.1
0.16,0.49,1.53,1.71,1.74
0.22,0.64,1.63,1.86,1.88
0.12,0.41,1.28,1.53,1.58
0.12,0.37,1.32,1.48,1.51
