header,intent,perform,bot,total
0.11,0.44,1.35,1.59,1.61
0.18,0.44,1.29,1.54,1.56
0.15,0.48,1.4,1.62,1.65
0.11,0.41,1.22,1.43,1.48
0.13,0.6,1.46,1.72,1.74
0.15,0.48,1.28,1.53,1.56
