header,intent,perform,bot,total
0.15,0.53,1.44,1.71,1.76
0.11,0.47,1.28,1.56,1.6
0.1,0.45,1.19,1.4,1.41
0.18,0.61,1.47,1.7,1.74
0.13,0.41,1.37,1.58,1.61
0.17,0.55,1.46,1.74,1.78
