header,intent,perform,bot,total
0.22,0.60,1.82,2.05,2.09
0.14,0.59,1.49,1.78,1.81
0.14,0.44,1.16,1.33,1.39
0.10,0.35,1.10,1.24,1.26
0.09,0.35,1.07,1.22,1.24
0.10,0.39,1.14,1.35,1.40
