header,intent,perform,bot,total
0.16,0.52,1.48,1.71,1.73
0.14,0.43,1.2,1.37,1.4
0.33,0.93,2.89,3.4,3.46
0.1,0.33,1.2,1.42,1.44
0.16,0.45,1.37,1.6,1.62
0.13,0.4,1.23,1.43,1.45
