header,intent,perform,bot,total
0.15,0.39,1.56,1.76,1.79
0.2,0.48,1.48,1.77,1.8
0.2,0.5,1.31,1.5,1.52
0.09,0.35,1.26,1.48,1.5
0.14,0.38,1.25,1.4,1.42
0.1,0.35,1.04,1.17,1.19
