header,intent,perform,bot,total
0.18, 1.77, 22.9, 23.49, 23.52
0.11, 0.68, 21.63, 22.17, 22.19
0.12, 0.79, 21.71, 22.44, 22.46
0.1, 0.69, 21.68, 22.35, 22.38
0.13, 0.59, 21.41, 21.81, 21.83
0.1, 0.66, 21.52, 21.93, 21.95
