header,intent,perform,bot,total
0.18, 2.47, 23.92, 24.79, 24.83
0.13, 0.67, 21.52, 22.01, 22.04
0.11, 0.7, 21.59, 22.13, 22.15
0.19, 0.96, 21.8, 22.48, 22.5
0.12, 0.79, 21.66, 22.08, 22.1
0.19, 0.76, 21.79, 22.26, 22.28
