header,intent,perform,bot,total
0.14, 1.75, 22.92, 23.55, 23.57
0.17, 0.8, 21.75, 22.32, 22.34
0.15, 0.74, 21.71, 22.45, 22.47
0.11, 0.95, 22.0, 22.71, 22.73
0.13, 0.61, 21.62, 22.08, 22.1
0.16, 0.67, 21.82, 22.82, 22.89
