header,intent,perform,bot,total
0.16, 1.94, 22.99, 23.57, 23.59
0.12, 0.71, 21.53, 21.99, 22.02
0.14, 0.8, 21.68, 22.35, 22.37
0.13, 0.79, 21.64, 22.24, 22.27
0.17, 0.7, 21.57, 21.93, 21.96
0.14, 0.75, 21.61, 22.02, 22.04
