header,intent,perform,bot,total
0.11, 1.5, 22.51, 23.09, 23.11
0.14, 0.82, 21.91, 22.4, 22.43
0.19, 0.82, 21.84, 22.47, 22.49
0.16, 0.88, 21.84, 22.48, 22.51
0.11, 0.64, 21.59, 22.09, 22.12
0.12, 0.72, 21.64, 22.31, 22.35
