header,intent,perform,bot,total
0.12, 1.49, 22.46, 23.09, 23.11
0.15, 0.81, 21.67, 22.16, 22.18
0.12, 0.85, 21.65, 22.21, 22.23
0.32, 2.48, 25.16, 27.22, 27.32
0.11, 0.65, 21.62, 22.1, 22.12
0.22, 1.33, 22.87, 23.36, 23.39
