header,intent,perform,bot,total
0.16, 1.47, 22.56, 23.21, 23.23
0.2, 1.05, 22.45, 23.05, 23.08
0.14, 0.78, 21.85, 22.52, 22.55
0.12, 0.82, 21.92, 22.56, 22.58
0.11, 0.58, 21.45, 21.91, 21.93
0.14, 0.76, 21.72, 22.22, 22.24
