header,intent,perform,bot,total
0.16, 1.95, 23.33, 24.43, 24.48
0.11, 0.91, 21.95, 22.5, 22.53
0.16, 1.0, 22.28, 23.22, 23.25
0.1, 0.72, 21.58, 22.26, 22.28
0.11, 0.62, 21.72, 22.48, 22.5
0.11, 0.78, 21.56, 21.98, 22.0
