header,intent,perform,bot,total
0.16, 1.47, 22.52, 23.24, 23.26
0.11, 0.65, 21.52, 22.01, 22.03
0.1, 0.63, 21.52, 22.25, 22.27
0.13, 0.93, 21.95, 22.76, 22.78
0.19, 1.11, 22.66, 23.14, 23.16
0.18, 0.71, 21.56, 21.95, 21.97
