header,intent,perform,bot,total
0.18, 0.46, 21.63, 21.91, 21.97
0.18, 0.48, 21.52, 21.83, 21.85
0.2, 0.59, 21.56, 21.86, 21.89
0.12, 0.44, 21.35, 21.67, 21.7 
0.16, 0.47, 21.75, 22.02, 22.06
0.16, 0.4, 21.44, 21.79, 21.83
