header,intent,perform,bot,total
0.14, 0.48, 21.76, 22.05, 22.08
0.16, 0.41, 21.39, 21.65, 21.68
0.12, 0.39, 21.34, 21.64, 21.67
0.14, 0.38, 21.31, 21.61, 21.64
0.12, 0.36, 21.53, 21.85, 21.89
0.16, 0.5, 21.62, 21.92, 21.95
