header,intent,perform,bot,total
0.24, 0.56, 21.74, 22.08, 22.1
0.12, 0.38, 21.35, 21.67, 21.71
0.14, 0.52, 21.55, 21.85, 21.87
0.12, 0.51, 21.66, 21.96, 21.98
0.12, 0.37, 21.42, 21.73, 21.75
0.1, 0.4, 21.28, 21.56, 21.59
