header,intent,perform,bot,total
0.31, 0.87, 23.1, 23.4, 23.42
0.13, 0.41, 21.82, 22.22, 22.27
0.26, 0.58, 21.52, 21.81, 21.83
0.11, 0.35, 21.33, 21.64, 21.66
0.1, 0.35, 21.43, 21.69, 21.73
0.1, 0.38, 21.39, 21.67, 21.71
