header,intent,perform,bot,total
0.13, 0.54, 21.85, 22.22, 22.24
0.12, 0.47, 21.52, 21.86, 21.89
0.1, 0.53, 21.6, 21.93, 21.96
0.16, 0.5, 21.51, 21.8, 21.84
0.16, 0.48, 21.6, 21.89, 21.91
0.11, 0.36, 21.41, 21.72, 21.75
