header,intent,perform,bot,total
0.15, 0.52, 21.79, 22.13, 22.17
0.18, 0.6, 22.05, 22.51, 22.56
0.16, 0.49, 21.51, 21.81, 21.83
0.28, 0.91, 22.96, 23.4, 23.45
0.1, 0.38, 21.42, 21.67, 21.69
0.14, 0.56, 21.52, 21.81, 21.84
