header,intent,perform,bot,total
0.25, 0.56, 21.69, 21.98, 22.01
0.17, 0.55, 21.91, 22.31, 22.36
0.17, 0.57, 21.6, 21.94, 21.96
0.1, 0.49, 21.5, 21.87, 21.9 
0.16, 0.4, 21.35, 21.63, 21.65
0.12, 0.48, 21.43, 21.71, 21.73
