header,intent,perform,bot,total
0.17, 0.55, 21.79, 22.08, 22.11
0.16, 0.42, 21.53, 21.83, 21.85
0.11, 0.36, 21.25, 21.54, 21.57
0.1, 0.39, 21.61, 22.18, 22.24
0.13, 0.43, 21.36, 21.65, 21.67
0.12, 0.46, 21.47, 21.75, 21.77
