header,intent,perform,bot,total
0.13, 0.53, 21.67, 21.95, 22.01
0.11, 0.41, 21.45, 21.75, 21.78
0.14, 0.49, 21.46, 21.76, 21.79
0.2, 0.52, 21.68, 21.98, 22.01
0.12, 0.5, 21.41, 21.68, 21.71
0.19, 0.48, 21.38, 21.66, 21.68
